worker_age,employment_attrition_flag,travel_frequency,compensation_daily_rate,org_department,worker_commute_distance,education_level_code,education_field,worker_id,survey_environment_satisfaction,worker_gender,compensation_hourly_rate,survey_job_involvement,org_job_level,org_job_role,survey_job_satisfaction,worker_marital_status,compensation_monthly_salary,compensation_monthly_rate,career_companies_worked_count,work_overtime_flag,compensation_salary_hike_pct,performance_rating_code,survey_relationship_satisfaction,compensation_stock_option_level,career_total_years,training_sessions_last_year,survey_work_life_balance,tenure_total_years,tenure_current_role_years,tenure_years_since_promotion,tenure_years_with_manager,worker_status
44,0,RARE,477,Research & Development,7,4,Medical,36,1,F,42,2,3,Healthcare Representative,4,Married,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,Active
46,0,RARE,705,Sales,2,4,Marketing,38,2,F,83,3,5,Manager,1,Single,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,Active
33,0,RARE,924,Research & Development,2,3,Medical,39,3,M,78,3,1,Laboratory Technician,4,Single,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,Active
44,0,RARE,1459,Research & Development,10,4,Other,40,4,M,41,3,2,Healthcare Representative,4,Married,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,Active
30,0,RARE,125,Research & Development,9,2,Medical,41,4,M,83,2,1,Laboratory Technician,3,Single,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,Active
39,1,RARE,895,Sales,5,3,Technical Degree,42,4,M,56,3,2,Sales Representative,4,Married,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,Terminated
24,1,RARE,813,Research & Development,1,3,Medical,45,2,M,61,3,1,Research Scientist,4,Married,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,Terminated
43,0,RARE,1273,Research & Development,2,2,Medical,46,4,F,72,4,1,Research Scientist,3,Divorced,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,Active
50,1,RARE,869,Sales,3,2,Marketing,47,1,M,86,2,1,Sales Representative,3,Married,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,Terminated
35,0,RARE,890,Sales,2,3,Marketing,49,4,F,97,3,1,Sales Representative,4,Married,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,Active
36,0,RARE,852,Research & Development,5,4,Life Sciences,51,2,F,82,2,1,Research Scientist,1,Married,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,Active
33,0,FREQ,1141,Sales,1,3,Life Sciences,52,3,F,42,4,2,Sales Executive,1,Married,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,Active
35,0,RARE,464,Research & Development,4,2,Other,53,3,M,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,Active
27,0,RARE,1240,Research & Development,2,4,Life Sciences,54,4,F,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,Active
26,1,RARE,1357,Research & Development,25,3,Life Sciences,55,1,M,48,1,1,Laboratory Technician,3,Single,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,Terminated
27,0,FREQ,994,Sales,8,3,Life Sciences,56,4,M,37,3,3,Sales Executive,3,Single,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,Active
30,0,FREQ,721,Research & Development,1,2,Medical,57,3,F,58,3,2,Laboratory Technician,4,Single,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,Active
41,1,RARE,1360,Research & Development,12,3,Technical Degree,58,2,F,49,3,5,Research Director,3,Married,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,Terminated
34,0,NONE,1065,Sales,23,4,Marketing,60,2,M,72,3,2,Sales Executive,3,Single,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,Active
37,0,RARE,408,Research & Development,19,2,Life Sciences,61,2,M,73,3,1,Research Scientist,2,Married,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,Active
46,0,FREQ,1211,Sales,5,4,Marketing,62,1,M,98,3,2,Sales Executive,4,Single,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,Active
35,0,RARE,1229,Research & Development,8,1,Life Sciences,63,4,M,36,4,1,Laboratory Technician,4,Married,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,Active
48,1,RARE,626,Research & Development,1,2,Life Sciences,64,1,M,98,2,3,Laboratory Technician,3,Single,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,Terminated
28,1,RARE,1434,Research & Development,5,4,Technical Degree,65,3,M,50,3,1,Laboratory Technician,3,Single,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,Terminated
44,0,RARE,1488,Sales,1,5,Marketing,68,2,F,75,3,2,Sales Executive,1,Divorced,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,Active
35,0,NONE,1097,Research & Development,11,2,Medical,70,3,M,79,2,3,Healthcare Representative,1,Married,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,Active
26,0,RARE,1443,Sales,23,3,Marketing,72,3,F,47,2,2,Sales Executive,4,Married,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,Active
33,0,FREQ,515,Research & Development,1,2,Life Sciences,73,1,F,98,3,3,Research Director,4,Single,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,Active
35,0,FREQ,853,Sales,18,5,Life Sciences,74,2,M,71,3,3,Sales Executive,1,Married,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,Active
35,0,RARE,1142,Research & Development,23,4,Medical,75,3,F,30,3,1,Laboratory Technician,1,Married,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,Active
31,0,RARE,655,Research & Development,7,4,Life Sciences,76,4,M,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,Active
37,0,RARE,1115,Research & Development,1,4,Life Sciences,77,1,M,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,Active
32,0,RARE,427,Research & Development,1,3,Medical,78,1,M,33,3,2,Manufacturing Director,4,Married,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,Active
38,0,FREQ,653,Research & Development,29,5,Life Sciences,79,4,F,50,3,2,Laboratory Technician,4,Single,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,Active
50,0,RARE,989,Research & Development,7,2,Medical,80,2,F,43,2,5,Research Director,3,Divorced,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,Active
59,0,RARE,1435,Sales,25,3,Life Sciences,81,1,F,99,3,3,Sales Executive,1,Single,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,Active
36,0,RARE,1223,Research & Development,8,3,Technical Degree,83,3,F,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,Active
55,0,RARE,836,Research & Development,8,3,Medical,84,4,F,33,3,4,Manager,3,Divorced,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,Active
36,0,FREQ,1195,Research & Development,11,3,Life Sciences,85,2,M,95,2,2,Manufacturing Director,2,Single,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,Active
45,0,RARE,1339,Research & Development,7,3,Life Sciences,86,2,M,59,3,3,Research Scientist,1,Divorced,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,Active
35,0,FREQ,664,Research & Development,1,3,Medical,88,2,M,79,3,1,Research Scientist,1,Married,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,Active
36,1,RARE,318,Research & Development,9,3,Medical,90,4,M,79,2,1,Research Scientist,3,Married,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,Terminated
59,0,FREQ,1225,Sales,1,1,Life Sciences,91,1,F,57,2,2,Sales Executive,3,Single,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,Active
29,0,RARE,1328,Research & Development,2,3,Life Sciences,94,3,M,76,3,1,Research Scientist,2,Married,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,Active
31,0,RARE,1082,Research & Development,1,4,Medical,95,3,M,87,3,1,Research Scientist,2,Single,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,Active
32,0,RARE,548,Research & Development,1,3,Life Sciences,96,2,M,66,3,2,Research Scientist,2,Married,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,Active
36,0,RARE,132,Research & Development,6,3,Life Sciences,97,2,F,55,4,1,Laboratory Technician,4,Married,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,Active
31,0,RARE,746,Research & Development,8,4,Life Sciences,98,3,F,61,3,2,Manufacturing Director,4,Single,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,Active
35,0,RARE,776,Sales,1,4,Marketing,100,3,M,32,2,2,Sales Executive,1,Single,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,Active
45,0,RARE,193,Research & Development,6,4,Other,101,4,M,52,3,3,Research Director,1,Married,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,Active
37,0,RARE,397,Research & Development,7,4,Medical,102,1,M,30,3,3,Research Director,3,Single,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,Active
46,0,RARE,945,Human Resources,5,2,Medical,103,2,M,80,3,2,Human Resources,2,Divorced,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,Active
30,0,RARE,852,Research & Development,1,1,Life Sciences,104,4,M,55,2,2,Laboratory Technician,4,Married,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,Active
35,0,RARE,1214,Research & Development,1,3,Medical,105,2,M,30,2,1,Research Scientist,3,Single,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,Active
55,0,RARE,111,Sales,1,2,Life Sciences,106,1,M,70,3,3,Sales Executive,4,Married,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,Active
38,0,NONE,573,Research & Development,6,3,Medical,107,2,F,79,1,2,Research Scientist,4,Divorced,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,Active
34,0,RARE,1153,Research & Development,1,2,Medical,110,1,M,94,3,2,Manufacturing Director,2,Married,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,Active
56,0,RARE,1400,Research & Development,7,3,Life Sciences,112,4,M,49,1,3,Manufacturing Director,4,Single,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,Active
23,0,RARE,541,Sales,2,1,Technical Degree,113,3,M,62,3,1,Sales Representative,1,Divorced,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,Active
51,0,RARE,432,Research & Development,9,4,Life Sciences,116,4,M,96,3,1,Laboratory Technician,4,Married,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,Active
30,0,RARE,288,Research & Development,2,3,Life Sciences,117,3,M,99,2,2,Healthcare Representative,4,Married,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,Active
46,1,RARE,669,Sales,9,2,Medical,118,3,M,64,2,3,Sales Executive,4,Single,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,Terminated
40,0,FREQ,530,Research & Development,1,4,Life Sciences,119,3,M,78,2,4,Healthcare Representative,2,Married,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,Active
51,0,RARE,632,Sales,21,4,Marketing,120,3,M,71,3,2,Sales Executive,4,Single,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,Active
30,0,RARE,1334,Sales,4,2,Medical,121,3,F,63,2,2,Sales Executive,2,Divorced,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,Active
46,0,FREQ,638,Research & Development,1,3,Medical,124,3,M,40,2,3,Healthcare Representative,1,Married,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,Active
32,0,RARE,1093,Sales,6,4,Medical,125,2,M,87,3,2,Sales Executive,3,Single,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,Active
54,0,RARE,1217,Research & Development,2,4,Technical Degree,126,1,F,60,3,3,Research Director,3,Married,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,Active
24,0,RARE,1353,Sales,3,2,Other,128,1,F,33,3,2,Sales Executive,3,Married,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,Active
28,0,NONE,120,Sales,4,3,Medical,129,2,M,43,3,2,Sales Executive,3,Married,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,Active
58,0,RARE,682,Sales,10,4,Medical,131,4,M,37,3,4,Sales Executive,3,Single,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,Active
44,0,NONE,489,Research & Development,23,3,Medical,132,2,M,67,3,2,Laboratory Technician,2,Married,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,Active
37,1,RARE,807,Human Resources,6,4,Human Resources,133,3,M,63,3,1,Human Resources,1,Divorced,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,Terminated
32,0,RARE,827,Research & Development,1,1,Life Sciences,134,4,M,71,3,1,Research Scientist,1,Single,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,Active
20,1,FREQ,871,Research & Development,6,3,Life Sciences,137,4,F,66,2,1,Laboratory Technician,4,Single,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,Terminated
34,0,RARE,665,Research & Development,6,4,Other,138,1,F,41,3,2,Research Scientist,3,Single,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,Active
37,0,NONE,1040,Research & Development,2,2,Life Sciences,139,3,M,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,Active
59,0,NONE,1420,Human Resources,2,4,Human Resources,140,3,F,32,2,5,Manager,4,Married,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,Active
50,0,FREQ,1115,Research & Development,1,3,Life Sciences,141,1,F,73,3,5,Research Director,2,Married,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,Active
25,1,RARE,240,Sales,5,3,Marketing,142,3,M,46,2,2,Sales Executive,3,Single,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,Terminated
25,0,RARE,1280,Research & Development,7,1,Medical,143,4,M,64,2,1,Research Scientist,4,Married,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,Active
22,0,RARE,534,Research & Development,15,3,Medical,144,2,F,59,3,1,Laboratory Technician,4,Single,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,Active
51,0,FREQ,1456,Research & Development,1,4,Medical,145,1,F,30,2,3,Healthcare Representative,1,Single,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,Active
34,1,FREQ,658,Research & Development,7,3,Life Sciences,147,1,M,66,1,2,Laboratory Technician,3,Single,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,Terminated
54,0,NONE,142,Human Resources,26,3,Human Resources,148,4,F,30,4,4,Manager,4,Single,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,Active
24,0,RARE,1127,Research & Development,18,1,Life Sciences,150,2,M,52,3,1,Laboratory Technician,3,Married,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,Active
34,0,RARE,1031,Research & Development,6,4,Life Sciences,151,3,F,45,2,2,Research Scientist,2,Divorced,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,Active
37,0,RARE,1189,Sales,3,3,Life Sciences,152,3,M,87,3,3,Sales Executive,4,Single,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,Active
34,0,RARE,1354,Research & Development,5,3,Medical,153,3,F,45,2,3,Manager,1,Single,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,Active
36,0,FREQ,1467,Sales,11,2,Technical Degree,154,2,F,92,3,3,Sales Executive,4,Married,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,Active
36,0,RARE,922,Research & Development,3,2,Life Sciences,155,1,F,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,Active
43,0,FREQ,394,Sales,26,2,Life Sciences,158,3,M,92,3,4,Manager,4,Married,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,Active
30,0,FREQ,1312,Research & Development,23,3,Life Sciences,159,1,M,96,1,1,Research Scientist,3,Divorced,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,Active
33,0,NONE,750,Sales,22,2,Marketing,160,3,M,95,3,2,Sales Executive,2,Married,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,Active
56,1,RARE,441,Research & Development,14,4,Life Sciences,161,2,F,72,3,1,Research Scientist,2,Married,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,Terminated
51,0,RARE,684,Research & Development,6,3,Life Sciences,162,1,M,51,3,5,Research Director,3,Single,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,Active
31,1,RARE,249,Sales,6,4,Life Sciences,163,2,M,76,1,2,Sales Executive,3,Married,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,Terminated
26,0,RARE,841,Research & Development,6,3,Other,164,3,F,46,2,1,Research Scientist,2,Married,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3,Active
58,1,RARE,147,Research & Development,23,4,Medical,165,4,F,94,3,3,Healthcare Representative,4,Married,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,Terminated
19,1,RARE,528,Sales,22,1,Marketing,167,4,M,50,3,1,Sales Representative,3,Single,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,Terminated
22,0,RARE,594,Research & Development,2,1,Technical Degree,169,3,M,100,3,1,Laboratory Technician,4,Married,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,Active
49,0,RARE,470,Research & Development,20,4,Medical,170,3,F,96,3,2,Manufacturing Director,1,Married,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,Active
43,0,FREQ,957,Research & Development,28,3,Medical,171,2,F,72,4,1,Research Scientist,3,Single,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2,Active
50,0,FREQ,809,Sales,12,3,Marketing,174,3,F,77,3,3,Sales Executive,4,Single,9208,6645,4,0,11,3,4,0,16,3,3,2,2,2,1,Active
31,1,RARE,542,Sales,20,3,Life Sciences,175,2,F,71,1,2,Sales Executive,3,Married,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,Terminated
41,0,RARE,802,Sales,9,1,Life Sciences,176,3,M,96,3,3,Sales Executive,3,Divorced,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7,Active
26,0,RARE,1355,Human Resources,25,1,Life Sciences,177,3,F,61,3,1,Human Resources,3,Married,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7,Active
36,0,RARE,216,Research & Development,6,2,Medical,178,2,M,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,Active
51,1,FREQ,1150,Research & Development,8,4,Life Sciences,179,1,M,53,1,3,Manufacturing Director,4,Single,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,Terminated
39,0,RARE,1329,Sales,4,4,Life Sciences,182,4,F,47,2,2,Sales Executive,3,Married,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,Active
25,0,RARE,959,Sales,28,3,Life Sciences,183,1,M,41,2,2,Sales Executive,3,Married,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2,Active
30,0,RARE,1240,Human Resources,9,3,Human Resources,184,3,M,48,3,2,Human Resources,4,Married,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7,Active
32,1,RARE,1033,Research & Development,9,3,Medical,190,1,F,41,3,1,Laboratory Technician,1,Single,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4,Terminated
45,0,RARE,1316,Research & Development,29,3,Medical,192,3,M,83,3,1,Research Scientist,4,Single,3452,9752,5,0,13,3,2,0,9,2,2,6,5,0,3,Active
38,0,RARE,364,Research & Development,3,5,Technical Degree,193,4,F,32,3,2,Research Scientist,3,Single,4317,2302,3,1,20,4,2,0,19,2,3,3,2,2,2,Active
30,0,RARE,438,Research & Development,18,3,Life Sciences,194,1,F,75,3,1,Research Scientist,3,Single,2632,23910,1,0,14,3,3,0,5,4,2,5,4,0,4,Active
32,0,FREQ,689,Sales,9,2,Medical,195,4,M,35,1,2,Sales Executive,4,Divorced,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7,Active
30,0,RARE,201,Research & Development,5,3,Technical Degree,197,4,F,84,3,1,Research Scientist,1,Divorced,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2,Active
30,0,RARE,1427,Research & Development,2,1,Medical,198,2,M,35,2,1,Laboratory Technician,4,Single,2720,11162,0,0,13,3,4,0,6,3,3,5,3,1,2,Active
41,0,FREQ,857,Research & Development,10,3,Life Sciences,199,4,M,91,2,4,Manager,1,Divorced,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7,Active
41,0,RARE,933,Research & Development,9,4,Life Sciences,200,3,M,94,3,1,Laboratory Technician,1,Married,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,Active
19,0,RARE,1181,Research & Development,3,1,Medical,201,2,F,79,3,1,Laboratory Technician,2,Single,1483,16102,1,0,14,3,4,0,1,3,3,1,0,0,0,Active
40,0,FREQ,1395,Research & Development,26,3,Medical,202,2,F,54,3,2,Research Scientist,2,Divorced,5605,8504,1,0,11,3,1,1,20,2,3,20,7,2,13,Active
35,0,RARE,662,Sales,1,5,Marketing,204,3,M,94,3,3,Sales Executive,2,Married,7295,11439,1,0,13,3,1,2,10,3,3,10,8,0,6,Active
53,0,RARE,1436,Sales,6,2,Marketing,205,2,M,34,3,2,Sales Representative,3,Married,2306,16047,2,1,20,4,4,1,13,3,1,7,7,4,5,Active
45,0,RARE,194,Research & Development,9,3,Life Sciences,206,2,M,60,3,2,Laboratory Technician,2,Divorced,2348,10901,8,0,18,3,3,1,20,2,1,17,9,0,15,Active
32,0,FREQ,967,Sales,8,3,Marketing,207,2,F,43,3,3,Sales Executive,4,Single,8998,15589,1,0,14,3,4,0,9,2,3,9,8,3,7,Active
29,0,NONE,1496,Research & Development,1,1,Technical Degree,208,4,M,41,3,2,Manufacturing Director,3,Married,4319,26283,1,0,13,3,1,1,10,1,3,10,7,0,9,Active
